15-054446-FC02,5/1/2018,Dougherty,"821 Shelton Drive Albany, Georgia",31707,"American General Financial Services, Inc.",8/15/2005,88344.82,119541.7,
18-068691-FC01,5/1/2018,Dougherty,"1701 Sharon Drive Albany, Georgia",31707,"Mortgage Electronic Registration Systems, Inc., as nominee for Opteum Financial Services, LLC its successors and assigns",3/30/2007,144433,,Auction.com
17-067990-FC01,5/1/2018,Dougherty,"1205 Firestone Drive Albany, Georgia",31707,"Mortgage Electronic Registration Systems, Inc. as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",3/3/2008,119007,,ServiceLink Auction
17-067774-FC01,5/1/2018,Dougherty,"1507 5th Avenue Albany, Georgia",31707,"Mortgage Electronic Registration Systems, Inc. as nominee for Real Estate Mortgage Network, Inc., A New Jersey Corporation, it successors and assigns",4/2/2009,74132,,Auction.com
18-068881-FC01,5/1/2018,Dougherty,"2210 Oak Haven Drive Albany, Georgia",31721,"Mortgage Electronic Registration Systems, Inc. as nominee for Freedom Mortgage Corporation, its successors and assigns",9/25/2007,96425,,Chronos Solutions
16-062042-FC01,5/1/2018,Effingham,"249 Cedar Lane Guyton, Georgia",31312,"Wachovia Bank, National Association",12/27/2006,154100,,Auction.com
17-067930-FC02,5/1/2018,Effingham,"163 Sweet Gum Drive Springfield, Georgia",31329,"Mortgage Electronic Registration Systems, Inc. as nominee for AmeriBank Mortgage Company, LLC, its successors and assigns",1/22/2009,150396,,Chronos Solutions
18-068090-FC01,5/1/2018,Effingham,"125 Crossing Circle Rincon, Georgia",31326,"Mortgage Electronic Registration Systems, Inc., as nominee for Southern Residential Lending, Inc., its successors and assigns",8/28/2003,135660,128597,
18-068797-FC01,5/1/2018,Effingham,"274 Wildwood Lane Bloomingdale, Georgia",31302,"Mortgage Electronic Registration Systems, Inc., as nominee for HomeBridge Financial Services, Inc. DBA Real Estate Mortgage Network, its successors and assigns",10/21/2016,238273,,Xome.com
17-066777-FC02,5/1/2018,Fayette,"223 Bordeaux Drive Fayetteville, Georgia",30214,Southern Crescent Mortgage & Investment Corp.,2/25/2002,169352,,Auction.com
18-069071-FC01,5/1/2018,Floyd,"15 Westwood Circle Rome, Georgia",30165,"Wachovia Bank, National Association",3/6/2003,100000,80243,
18-068124-FC01,5/1/2018,Fulton,"3182 Lake Avenue Atlanta, Georgia",30354,"Wachovia Bank, National Association",8/17/2006,87832.58,61502.78,
14-046669-FC07,5/1/2018,Fulton,"7080 Preserve Parkway Fairburn, Georgia",30213,"Mortgage Electronic Registration Systems, Inc. as nominee for Bayrock Mortgage Corporation, its successors and assigns",10/10/2006,110800,,Xome.com
10-001528-FC06,5/1/2018,Fulton,"2317 Sargent Place SE Atlanta, Georgia",30315,Decatur Federal Savings and Loan Association,5/2/1984,32450,,Auction.com
16-060682-FC02,5/1/2018,Fulton,"6732 Jules Trace Palmetto, Georgia",30268,"Mortgage Electronic Registration Systems, Inc., as nominee for Pine State Mortgage Corporation, its successors and assigns",11/16/2007,166884,,ServiceLink Auction
17-067303-FC02,5/1/2018,Glynn,"105 Enterprise Street Brunswick, Georgia",31525,"American General Financial Services, Inc.",12/22/2006,82642.12,110526.62,
18-068686-FC01,5/1/2018,Gordon,"1129 Hall Memorial Road NW Resaca, Georgia",30735,"Mortgage Electronic Registration Systems, Inc., as nominee for Synovus Mortgage Corp., its successors and assigns",11/13/2014,78775,,Chronos Solutions
18-068736-FC01,5/1/2018,Greene,"1481 E Broad Street Greensboro, Georgia",30642,"Wells Fargo Bank, N.A.",10/31/2014,132750,111786.5,
18-068752-FC01,5/1/2018,Gwinnett,"2775 Haynes Club Circle Grayson, Georgia",30017,"Wells Fargo Bank, N.A.",12/3/2009,174450,173666.97,
17-067869-FC02,5/1/2018,Gwinnett,"2747 Sidney Lake Court Dacula, Georgia",30019,"Mortgage Electronic Registration Systems, Inc. as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns",3/25/2009,209650,,Auction.com
16-056700-FC04,5/1/2018,Gwinnett,"2720 Shoemaker Lane Snellville, Georgia",30039,"Mortgage Electronic Registration Systems, Inc. as nominee for SouthEast Mortgage of Georgia Inc., its successors and assigns",4/6/2011,198340,,Auction.com
18-069002-FC01,5/1/2018,Hall,"7536 Mud Creek Road Alto, Georgia",30510,"Mortgage Electronic Registration Systems, Inc. as nominee for Homestar Financial Corp., its successors and assigns",3/3/2011,79792,,Chronos Solutions
18-068894-FC01,5/1/2018,Haralson,"211 Charleston Avenue Bremen, Georgia",30110,"Mortgage Electronic Registration Systems, Inc. as nominee for Magnolia Bank, Inc., its successors and assigns",7/9/2014,163265,,Chronos Solutions
18-068931-FC01,5/1/2018,Haralson,"245 James Street Tallapoosa, Georgia",30176,"Wells Fargo Bank, N.A.",5/3/2010,45166,,Auction.com
18-068837-FC01,5/1/2018,Henry,"1708 Rising View Circle McDonough, Georgia",30253,"Mortgage Electronic Registration Systems, Inc. as nominee for Countrywide Home Loans, Inc., its successors and assigns",6/20/2005,198320,171750,
